train/ent_coef_loss,time/episodes,time/time_elapsed,train/actor_loss,train/learning_rate,time/fps,time/total_timesteps,train/critic_loss,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/ent_coef
-0.3461512327194214,1,2,-10.062817573547363,0.0003,84,200,0.19123825430870056,200.0,99,0.0,0.9709978699684143
-1.0556414127349854,2,5,-12.945846557617188,0.0003,70,400,0.14160893857479095,200.0,299,0.0,0.91443932056427
-1.7571240663528442,3,8,-15.84128189086914,0.0003,70,600,0.09009278565645218,200.0,499,0.0,0.8611816167831421
-2.465137004852295,4,11,-18.712596893310547,0.0003,69,800,0.05989784747362137,200.0,699,0.0,0.8110184073448181
-3.1815953254699707,5,14,-21.666343688964844,0.0003,67,1000,0.060580987483263016,200.0,899,0.0,0.7637681365013123
-3.8707542419433594,6,18,-24.073001861572266,0.0003,65,1200,0.0651986226439476,200.0,1099,0.0,0.7192726731300354
-4.5867767333984375,7,21,-26.667835235595703,0.0003,65,1400,0.058829039335250854,200.0,1299,0.0,0.6773654222488403
-5.296499252319336,8,24,-29.081083297729492,0.0003,65,1600,0.03998953476548195,200.0,1499,0.0,0.6379117965698242
-5.985701560974121,9,27,-31.321504592895508,0.0003,64,1800,0.036949723958969116,200.0,1699,0.0,0.6007602214813232
-6.692343711853027,10,30,-33.39455795288086,0.0003,64,2000,0.04987209290266037,200.0,1899,0.0,0.5657830834388733
-7.407299518585205,11,33,-35.39971160888672,0.0003,64,2200,0.0603630393743515,200.0,2099,0.0,0.5328505039215088
-8.124367713928223,12,36,-36.9483642578125,0.0003,65,2400,0.0391710102558136,200.0,2299,0.0,0.5018303394317627
-8.801090240478516,13,40,-38.73397445678711,0.0003,63,2600,0.033963315188884735,200.0,2499,0.0,0.47263145446777344
-9.503597259521484,14,43,-40.30484390258789,0.0003,63,2800,0.03625928610563278,200.0,2699,0.0,0.44512939453125
